Date,SPI,season,d1,d2,d3
1/1/1993,0.348025084,Winter,-0.8050,0.0200,0.0488
2/1/1993,-0.459882289,Winter,0.8050,0.0200,0.0488
3/1/1993,0.269990742,Spring,-0.4950,-0.0200,0.0488
4/1/1993,-0.727759838,Spring,0.4950,-0.0200,0.0488
5/1/1993,0.027261848,Spring,-0.3650,0.1275,-0.0488
6/1/1993,-0.523056269,Summer,0.3650,0.1275,-0.0488
7/1/1993,1.134960651,Summer,-0.3800,-0.1275,-0.0488
8/1/1993,1.349291325,Summer,0.3800,-0.1275,-0.0488
9/1/1993,-0.817617476,Autumn,-0.8250,0.0200,0.0550
10/1/1993,-0.910832524,Autumn,0.8250,0.0200,0.0550
11/1/1993,0.703956246,Autumn,1.0850,-0.0200,0.0550
12/1/1993,-0.64270705,Winter,-1.0850,-0.0200,0.0550
1/1/1994,-0.602129698,Winter,0.8600,0.7350,-0.0550
2/1/1994,-0.511807382,Winter,-0.8600,0.7350,-0.0550
3/1/1994,1.75655663,Spring,0.0400,-0.7350,-0.0550
4/1/1994,-0.381074637,Spring,-0.0400,-0.7350,-0.0550
5/1/1994,-0.709372163,Spring,-1.1350,0.5850,-0.1338
6/1/1994,-0.161933079,Summer,1.1350,0.5850,-0.1338
7/1/1994,2.292140007,Summer,0.1650,-0.5850,-0.1338
8/1/1994,-0.048983991,Summer,-0.1650,-0.5850,-0.1338
9/1/1994,-0.854873955,Autumn,-1.2250,0.7575,0.1338
10/1/1994,1.769992471,Autumn,1.2250,0.7575,0.1338
11/1/1994,0.054561339,Autumn,0.4000,-0.7575,0.1338
12/1/1994,-0.518800318,Winter,-0.4000,-0.7575,0.1338
1/1/1995,-0.739048123,Winter,-0.2750,0.4800,-0.3888
2/1/1995,1.13469255,Winter,0.2750,0.4800,-0.3888
3/1/1995,-0.25065273,Spring,-0.1450,-0.4800,-0.3888
4/1/1995,0.240000427,Spring,0.1450,-0.4800,-0.3888
5/1/1995,0.367736697,Spring,0.6900,0.0675,0.3888
6/1/1995,0.095496915,Summer,-0.6900,0.0675,0.3888
7/1/1995,0.493716121,Summer,-0.0650,-0.0675,0.3888
8/1/1995,0.118520267,Summer,0.0650,-0.0675,0.3888
9/1/1995,0.073957168,Autumn,-0.1950,0.1000,0.3613
10/1/1995,-0.197893381,Autumn,0.1950,0.1000,0.3613
11/1/1995,0.348214567,Autumn,0.0250,-0.1000,0.3613
12/1/1995,-1.031215429,Winter,-0.0250,-0.1000,0.3613
1/1/1996,-1.340875864,Winter,0.9750,-0.4475,-0.3613
2/1/1996,-0.72701174,Winter,-0.9750,-0.4475,-0.3613
3/1/1996,-0.743834853,Spring,1.2600,0.4475,-0.3613
4/1/1996,0.984169781,Spring,-1.2600,0.4475,-0.3613
5/1/1996,-0.3629013,Spring,0.0050,-0.5225,-0.4438
6/1/1996,0.739182115,Summer,-0.0050,-0.5225,-0.4438
7/1/1996,1.063504,Summer,0.6700,0.5225,-0.4438
8/1/1996,1.387826324,Summer,-0.6700,0.5225,-0.4438
9/1/1996,1.006569743,Autumn,0.5900,-0.5250,0.4438
10/1/1996,-0.00011621,Autumn,-0.5900,-0.5250,0.4438
11/1/1996,-1.946039081,Autumn,0.1900,0.5250,0.4438
12/1/1996,1.184638262,Winter,-0.1900,0.5250,0.4438
1/1/1997,0.596569061,Winter,0.5500,-0.0300,-0.1313
2/1/1997,-0.46719119,Winter,-0.5500,-0.0300,-0.1313
3/1/1997,2.420002222,Spring,-0.1300,0.0300,-0.1313
4/1/1997,0.080138534,Spring,0.1300,0.0300,-0.1313
5/1/1997,0.781742036,Spring,-1.4450,0.2725,0.1313
6/1/1997,-0.098866336,Summer,1.4450,0.2725,0.1313
7/1/1997,-0.929895639,Summer,-0.3500,-0.2725,0.1313
8/1/1997,-1.834324837,Summer,0.3500,-0.2725,0.1313
9/1/1997,0.183144569,Autumn,0.4150,0.1550,-0.5000
10/1/1997,0.961124778,Autumn,-0.4150,0.1550,-0.5000
11/1/1997,-0.135033756,Autumn,-1.0050,-0.1550,-0.5000
12/1/1997,0.337972194,Winter,1.0050,-0.1550,-0.5000
1/1/1998,-0.170268595,Winter,-0.4800,-0.2200,0.5000
2/1/1998,0.774866164,Winter,0.4800,-0.2200,0.5000
3/1/1998,-0.915191233,Spring,0.7200,0.2200,0.5000
4/1/1998,-0.860064805,Spring,-0.7200,0.2200,0.5000
5/1/1998,-1.770907044,Spring,0.8450,0.6200,-0.2038
6/1/1998,-0.67279309,Summer,-0.8450,0.6200,-0.2038
7/1/1998,-0.979672074,Summer,0.4550,-0.6200,-0.2038
8/1/1998,1.430962324,Summer,-0.4550,-0.6200,-0.2038
9/1/1998,-0.934458971,Autumn,0.1550,-0.5375,0.2038
10/1/1998,-0.369773626,Autumn,-0.1550,-0.5375,0.2038
11/1/1998,0.589889169,Autumn,1.1800,0.5375,0.2038
12/1/1998,1.271945715,Winter,-1.1800,0.5375,0.2038
1/1/1999,-1.140409589,Winter,0.0250,0.0125,-0.6150
2/1/1999,-0.056608267,Winter,-0.0250,0.0125,-0.6150
3/1/1999,-0.183885589,Spring,0.1800,-0.0125,-0.6150
4/1/1999,0.979127824,Spring,-0.1800,-0.0125,-0.6150
